,DOCS
3845,
3847,Comprei computadores veio defeito Mesmo abrindo reclamações baratheon targaryen sequer responderam reclamações
3850,Não chegou
3854,entrega prazo
3855,entrega muito antes prazo
3856,produtos bons
3860,Entregou dentro prazo conforme solicitado Muito bom
3866,Muito bom
3867,Gostei serviço prazo entrega
3872,Apesar correiosadoro comprar lojas lannister
3875,Não entregou produto não entrou contato
3881,produto confere imagens loja virtual decepcionei esperava menos pedestal metal não plástico firmeza
3883,recomedaria lannister diversas vezes nao produto Infelizmente veio amassado pequenos defeitos longo produto
3884,Recebido antes prazo recomendo
3885,Excelente comprar lannister atendimento perfeito
3887,Ótimos produtos preço bom
3888,único problema não especificado comprimento cortina muito bonita goste só pouco curta
3889,Chegou mais rápido prazo previsto fiquei muito feliz Ja usando produto gostei muito Ja comprei vezes baratheon continuar comprando Site confiança
3891,Bom produto
3893,Comprei almofadas só recebi respectiva Nota Fiscal
3898,Entrega rápida antes prazo recomendo
3899,excelente produto
3900,Pra não adapta película vidro película vidro boa opção
3902,Recebi produto diferente requisitado imagem anúncio não condiz produto recebido
3908,feito conforme tratado contratado
3909,gostei muito entregou aparelho celular bem antes data precisamos qualidade rapidez Transparência
3910,Assim receber item avalio veracidade tambem recomendações
3911,descrição produto site tamanho não confere produto recebidomuito pequena
3912,Super recomendo não utilizei ainda mais dá ver produto excelente qualidade fora entregue muito antes prazo nota
3914,Gostaria criassem forma entrega melhor Sedex temos retirar correios mesma fica muito longe residênciano produto perfeito
3915,acordo combinado
3916,Produto top
3917,Preciso retorno pq não ter chego pedido
3923,Veio antes prazo Informado etapas entrega
3925,compra realizada loja targaryen não teve mercadoria até agora targaryen stark resolveram mercadoria frete pagos acho deve reembolsado
3927,Atedimento top confio já comprei diversas vezes nunca tive problema
3928,Muito satisfeito
3929,favor reenviar
3931,demoru pouco chegou
3932,Não sei aconteceu tentando entender comprei produto não recebimandei mensagem não retornaram mensagem sempre compro site lannister nunca tive problema entrega
3940,prazo entrega acaba dia não comprarei baratheon quando prazo entrega muito grande
3941,Comprei plafon cristal pendentes consta email encaminharam entregue pendentes não recebi somente plafon
3947,Quero saber aconteceu entrega prazo ja passou nao tive satisfacao responsaveis
3948,entrega poderia mais rápida produto ok conformes
3953,produto não chego ainda y já paso praso entrega
3954,produto ótima qualidade entrega super rápida
3956,Já faz mais mês esperando cortina chegarestou negativando ficaram dinheiro nao entregaram
3963,Recomendo
3965,grande
3966,Comprar lannister bom muito seguro
3967,Ótimo não tive problema compra stark sempre informando situação produto emails dentro prazo
3969,Ótima loja comprar
3970,excelente produto superou expectativa entrega efetuada antes prazo
3975,mais agradeço
3977,bom produto
3983,Sucesso compra Amei produto
3985,Comprei relógio Casio oque entregue não bate número série comprei identifique parece réplica gostaria muito devolver produto
3990,Recebi película quebrada tentando troca produto
3991,compras fiz site lannister sempre deram
3993,Só não entregaram casa paguei frete tive ir buscar resto ok
3994,Produto excelente custo baixo juntou util agradevel
3995,entregue dias depois pagamento produto chegou achei pouco fraco motor máquina costura bem
3998,Rápido entrega Produto boa qualidade
4005,Mesa linda acabamento perfeito parafuso suporte veio solto então deixou parte pouco frouxa tive dar jeitinho acabamento perfeito
4008,otimo
4009,Parabéns Excelente produto
4011,Bom
4012,Não recebi produto
4016,Boa
4021,recebido como combinado
4022,produto compacto atendeu expectativas como sempre entrega antes prazo
4024,Espero retorno
4025,EMPRESA ENTREGOU ANTES PRAZO
4028,Adorei investimento apesar só testei enquanto Porém resenhas venho internet produto vem luva térmica certificado não veio além manual
4030,Gostei muito RecomendoProduto qualidade entrega rápida
4031,Boa tarde não recebi cesto conforme NF Recebi somente paguei espero contato mais rápido possível
4033,Câmera clássica ótimo preço
4040,muito bom
4044,Efetuei compra Pude acompanhar processo Excelente trabalho Produto excelente Parabéns
4046,Muito boa recomendo muito recebi muito antes prazo veio correro Muito bom
4049,Gostei muito bonito ficou show sala
4051,LEGAL
4052,Chegou muito antes prazo Perfeita linda ótimo material simplesmente amei Super recomendo
4053,Antes dias antes prazo Peça impecável defeitos Bem embalado
4057,pacote veio super bem embalado chegou antes prazo tinta ainda não usei saber dará efeito desejado então farei novo comentário futuro
4058,Excelente
4060,Excelentebonito ajusta facil braço Nao grande tem tamanho ideal funçoes Super recomendo
4062,Não entregaram lençóis comprados
4065,ok
4066,Ótimo
4074,recebi essências faltando Kit Colágeno hidrolisado site email dizendo recebido juntos Só ainda aguardo colágenos
4075,Ótimo atendimento
4077,luminária linda tem tamanho excelente acabamento bem bom
4080,Muito boa
4081,Nem tentaram entregar produto dias horários constam sistema casa além não deixado comunicado caixa correios prédio inf tentativa entrega
4082,Boa tarde pedi gorros só recebi agora faço
4087,BOM PRODUTO ENTREGA RÁPIDA
4089,Comprei relógios só chegou Já mandei mensagens informando até agora não tive respostas
4091,Produto qualidade muito bonito entrega muito rápida
4093,Sempre comprei site fique muito satisfeito infelizmente vez aconteceu imprevisto Espero problema resolvido breve preciso mercadoria
4094,Produto lindo ótima qualidade único problema tive atraso entrega culpa correios
4095,Rápido eficaz variedades escolher bom presente família
4100,Entrega prazo recomendaria mais atenção produto bom
4101,cliente stark já há tempo sempre muito bem atendido Sempre recebi produtos adquiridos através empresa venda internete
4105,site seguro entrega rápida produto danos
4110,Produto certinho comprei dentro prazo não tive problema
4113,Produto bem embalado igual foto Almofadinha muito linda
4114,entregue apenas capas cadeiras toalha mesa capas cadeiras cobrado preco muito alto entrega
4115,Pois baratheon mais rápido exemplo compra baratheon agente compra hoje Exemplo sextafeira chega produto agente comprou loja chegou faiz data co
4117,Pedido entregue diferente imagem produto venda Inclusive produto removido site depois entrega
4119,Esperava melhor fixação grade resto ok
4128,ÓTIMA
4129,FOI OTIMO
4132,Recebi apenas produto não como paguei Quero urgente resto pedido tenho pressa
4133,Entrega rápida produto qualidade
4134,satisfeito serviço prestado
4137,Produto boa qualidade Chegou prazo
4138,relógio tem boa qualidade
4139,Ficou pequeno chegou prazo
4140,EFICIENTE
4142,correios pior empresa mundo não fico vontade comprar lojas trabalham junto correios prefiro Wallmart ponto frio lá não trabalham correios
4147,Relógio top entrega rápida recomendo
4155,Produto não corresponde imagem venda
4156,Muito bonita bom acabamento chegou bem antes previsto
4158,Exemplo fidelidade cliente empresa
4168,Obrigado
4175,Comprei plafons ralos inteligentes luminarias ralos veio quebrado comprometendo funcionalidade mesmo luminárias simplesmente não entregues agora
4176,Comprei faz tempo indiguinado paguei cadê aparelho
4178,aguardando posição loja
4183,QUANTO MPRAZO FOI PENAS DIFICUDADE QUANTO ENDEREÇO MAIS FOI MARAVILHOSO
4185,Gostei atendimento parabéns
4187,Ainda aguardo entrega produto
4189,Entrega feita prazo correto Produto sabor excelente
4192,Satisfeita
4195,Gostei muito bem embalado seguro Entrega rápida Adorei
4201,Produto chegou antes prazo previsto perfeitas condições
4202,Ótimo atendimento gostei
4203,trabalho bem prestado
4204,Excelente produto muito bonito boa qualidade gostei muito
4207,Recomendo
4211,única questão comunicado recebi dizendo não receberia produto até mesmo link cancelar compra
4215,faltando produto guarda roupa veio faltando fundo gaveta
4219,Gosto comprar Loja só acho preço fretes bastante elevados
4225,Produto bom frete caro demorado
4226,Chegou antes prazo previstoAtualização rastreamento real
4230,Boa tardeqdo comprei cartucho hp original veio cartucho desconhecido tinta anuncio nao deveriam colocar embalagem produtopois foto queria vei generico
4231,Passou prazo trega
4233,chegou bem antes esperado
4234,Bom dia Até presente momento produto não entregue
4236,Pedi paguei produtos recebi apenas Quero terceiro produto pedido pago
4238,Produto muito bom
4241,Achei produto bonito chegou certinho Só menorzinho imaginava frágio Mais chegou inteiro
4244,Chegou antes prazo previsto produto surpreendeu qualidade Muito satisfatório
4246,vergonha paguei não recebi produto
4248,recomendo
4253,Satisfeito
4256,Produto boa qualidade prazo cumprido integralmente
4259,Entrega ótima produto chegou antes prazo Produto estrutura interna plástico já tinha ferro garantia mais segurança contrapartida enferrujava
4262,venderam não tinham estoque procedimento problemático filha ainda aguarda boneca comprei Passou Natal Vem ano novo amanhã Quero produto
4265,Fiz contato meio linhas telefônicas disponíveis reclamar entrega produto errado solicitarem número pedido não responderam mais
4266,Não recebi produto tive resposta loja saber aconteceu Até agora só problemas compra
4267,produto excelente entrega muito rápida dias já produto além muito fácil montar bem prático
4273,Tô neia linda muito eficiente super recomendo
4274,Sempre compro baratheon sempre vem datas
4275,Produto entregue prazo apesar greve produto qualidade
4280,Nao veio caixa bonita como vem relogios champion
4290,produtos entregues prazo produtos tiveram cor modelo alterados
4294,Não entregaram pedido tive ir buscar correio
4298,Bom produto macio quentinho
4299,Boa tarde só entregue produto falto Kit Colcha Patchwork Bouti Inter Home Solteiro Rozac Espero entregue já pago
4302,Entrega rápida correta
4304,tentando reembolso compra vez tentei realizar cancelamento compra site não permitiu Já devolvi produto conforme orientação não recebi retorno
4306,Produto muito bem embalado correto
4307,Já recebi diferentes emails confirmação entrega dificuldades confirmar pedido pedido ainda não confirmado mais vez confirmação entrega chega
4309,colcha mt bonita Gostei
4312,bom
4313,Parabéns
4314,ok
4315,Muito rápido não abri embalagem ainda acredito
4316,Veio conformes
4318,Parabens trabalho
4321,so entregou relogio faltando homem aranha
4322,Comprei relógio marido adorou previsto chegar dia chegou dia Muito bom super recomendo
4323,faço trocar película
4324,Muito satisfeita Produto entregue antes prazo perfeita ordem
4327,produto veio diversos pontos mal soldado riscos amassados
4331,super recomendo produto entregue antes pazo previsto
4333,super recomendo gostei muito produto igual visualizei internet amei recomendo propaganda verdadeira alem qualidade
4335,Muito bom sim mais obrigação fazer direito pagamos mesmo jeito não lógica pagar serviço
4338,segunda vez pago frete mandam ir retirar correios frete serve p
4339,Não meenviaram porca dando muito trabalho adotar lugar
4341,produto veio diferente apresentado site
4344,Achei demorou muito
4345,comprei demorando emissão nota fiscal daí achei melhor cancelar pedido aguardando estorno pagamento até momento não feito
4347,Chegou rápido
4348,Adorei produto
4351,Produtos qualidade entregues antes prazo
4360,compra venho incompleta faltando chicote Tento liga só tem gravação não falar atendente
4364,Não responde solicitações atendimento
4365,Muito bom veio rápido
4367,anuncio como original enviaram produto similiar propaganda inganosa
4370,ótimo produto
4373,
4378,Recomendo tenho produto dando dor cabeça caramba chegar Espero retorno
4380,Muito bom
4381,Entrega antes prazo produto muito bom como descrito
4383,Gosto muito comprar baratheon Dessa vez decepcionei não recebi produto
4385,Relógio muito bonito ótimo preço Prazo entrega bem antes esperado
4388,Recebi produto mesma marca inferior havia comprado aviso fornecedor
4395,Bom rapido entrega
